Customer ID,Age,Region,Review,Payment Status,Date
CUST65482,65,West,I appreciate the bank's patience.,On Time,13-11-2022 22:54:17
CUST32659,33,South,I'm trying to catch up with my payments soon.,Defaulted,21-08-2020 07:52:41
CUST83224,20,Central,I have some pending payments.,Defaulted,17-03-2024 10:33:30
CUST57474,18,East,I have some pending payments.,On Time,16-07-2022 04:14:04
CUST50725,68,Central,The interest rates are too high!,Defaulted,19-11-2020 07:08:07
CUST93784,75,Central,I need more time to manage my finances.,On Time,02-03-2024 21:28:49
CUST39636,38,North,I appreciate the bank's patience.,On Time,18-12-2022 14:53:06
CUST21332,67,South,Please update me on my payment schedule.,Defaulted,09-09-2023 16:19:09
CUST99576,69,North,The interest rates are too high!,On Time,31-08-2024 07:25:33
CUST28164,41,East,I cannot keep up with the payments anymore.,Defaulted,27-03-2022 07:37:54
CUST63450,21,East,I have some pending payments.,On Time,05-11-2021 01:20:30
CUST18001,23,East,I need more time to manage my finances.,Defaulted,17-07-2022 17:52:14
CUST49277,38,North,I cannot keep up with the payments anymore.,Defaulted,24-07-2024 15:44:38
CUST53214,34,Central,I appreciate the bank's patience.,On Time,30-04-2024 17:30:25
CUST29202,36,North,I need more time to manage my finances.,On Time,08-01-2020 03:06:52
CUST94468,57,Central,Things are improving; I'll make a payment shortly.,On Time,21-03-2020 21:42:09
CUST81409,50,Central,I need more time to manage my finances.,Defaulted,11-01-2023 14:27:46
CUST22308,29,South,I have some pending payments.,On Time,23-12-2022 20:07:05
CUST16921,55,West,Please update me on my payment schedule.,Defaulted,17-03-2021 01:16:09
CUST20005,24,East,I cannot keep up with the payments anymore.,Defaulted,06-11-2021 23:27:18
CUST81630,33,South,Please update me on my payment schedule.,Defaulted,28-12-2024 04:37:25
CUST81267,55,South,I need more time to manage my finances.,Defaulted,25-11-2023 03:26:37
CUST50217,33,North,I'm trying to catch up with my payments soon.,Defaulted,29-11-2024 05:40:45
CUST39252,73,West,I appreciate the bank's patience.,On Time,14-01-2023 16:31:47
CUST51779,68,East,I'm trying to catch up with my payments soon.,On Time,30-01-2021 01:05:53
CUST58894,18,East,I'm trying to catch up with my payments soon.,Defaulted,06-04-2020 18:57:48
CUST80895,44,South,Please update me on my payment schedule.,On Time,28-07-2020 17:53:24
CUST18097,37,West,I appreciate the bank's patience.,Defaulted,08-01-2024 08:18:57
CUST32202,42,East,I appreciate the bank's patience.,Defaulted,22-08-2023 17:24:23
CUST15798,19,East,I have some pending payments.,Defaulted,04-07-2022 05:15:08
CUST65694,68,East,I cannot keep up with the payments anymore.,On Time,07-12-2020 16:55:01
CUST45330,48,East,Things are improving; I'll make a payment shortly.,Defaulted,22-04-2022 14:37:14
CUST55113,39,East,The interest rates are too high!,Defaulted,23-05-2022 02:39:20
CUST56800,67,South,I cannot keep up with the payments anymore.,On Time,12-08-2020 00:01:39
CUST51056,25,North,Things are improving; I'll make a payment shortly.,On Time,07-09-2024 01:48:06
CUST20743,39,East,I'm frustrated with the late fees.,On Time,07-07-2020 10:23:42
CUST63570,52,South,I appreciate the bank's patience.,Defaulted,06-08-2022 00:31:17
CUST66057,65,South,I appreciate the bank's patience.,On Time,29-12-2024 04:36:04
CUST65127,26,West,I'm trying to catch up with my payments soon.,Defaulted,13-12-2020 05:06:26
CUST19694,67,North,Please update me on my payment schedule.,Defaulted,02-12-2024 18:09:07
CUST20070,45,East,I have some pending payments.,Defaulted,06-07-2024 03:42:45
CUST64608,25,South,I'm frustrated with the late fees.,On Time,01-08-2020 07:16:45
CUST18238,67,North,I'm frustrated with the late fees.,Defaulted,26-06-2024 22:56:53
CUST90599,43,South,I appreciate the bank's patience.,Defaulted,20-03-2020 06:52:01
CUST51140,48,West,I need more time to manage my finances.,On Time,21-07-2024 04:08:29
CUST20219,60,West,Things are improving; I'll make a payment shortly.,On Time,08-11-2023 15:56:58
CUST28199,32,South,I'm trying to catch up with my payments soon.,Defaulted,03-04-2024 18:26:28
CUST35541,50,Central,I cannot keep up with the payments anymore.,On Time,22-10-2024 23:18:47
CUST65918,51,North,Please update me on my payment schedule.,On Time,15-04-2021 01:47:52
CUST95556,22,South,Things are improving; I'll make a payment shortly.,Defaulted,02-06-2022 08:02:19
CUST12998,23,East,I need more time to manage my finances.,Defaulted,06-06-2023 20:43:01
CUST48716,36,West,I cannot keep up with the payments anymore.,On Time,27-02-2021 02:29:36
CUST79480,72,West,The interest rates are too high!,On Time,09-10-2024 13:34:24
CUST97892,20,Central,I appreciate the bank's patience.,Defaulted,22-11-2021 02:41:08
CUST40588,19,North,I appreciate the bank's patience.,On Time,26-08-2022 17:27:55
CUST62593,44,Central,Things are improving; I'll make a payment shortly.,On Time,05-03-2024 14:59:37
CUST13755,68,East,I'm frustrated with the late fees.,On Time,17-05-2022 18:22:18
CUST36588,59,South,Things are improving; I'll make a payment shortly.,On Time,12-09-2023 06:09:28
CUST41529,49,Central,The interest rates are too high!,On Time,06-08-2022 06:43:06
CUST15146,61,East,I'm frustrated with the late fees.,On Time,23-03-2020 19:59:49
CUST78678,18,West,The interest rates are too high!,Defaulted,23-01-2022 14:53:24
CUST85048,75,Central,I have some pending payments.,Defaulted,05-08-2023 03:30:42
CUST53135,69,East,I'm trying to catch up with my payments soon.,On Time,10-10-2024 13:52:26
CUST28153,22,South,I need more time to manage my finances.,Defaulted,25-07-2023 14:50:11
CUST64782,52,South,Things are improving; I'll make a payment shortly.,On Time,10-06-2021 18:58:10
CUST40607,32,West,I need more time to manage my finances.,On Time,17-12-2021 13:46:07
CUST40451,18,Central,Please update me on my payment schedule.,On Time,15-09-2024 07:58:49
CUST84117,41,West,I'm trying to catch up with my payments soon.,On Time,23-07-2024 01:26:01
CUST50713,62,South,The interest rates are too high!,Defaulted,09-07-2024 16:01:50
CUST31304,71,East,I cannot keep up with the payments anymore.,On Time,09-06-2023 21:18:54
CUST51798,40,East,I need more time to manage my finances.,Defaulted,13-09-2021 05:14:34
CUST17650,71,West,Things are improving; I'll make a payment shortly.,On Time,15-03-2020 16:49:08
CUST54959,32,South,I need more time to manage my finances.,Defaulted,17-06-2024 13:26:52
CUST87782,41,Central,Things are improving; I'll make a payment shortly.,On Time,18-01-2022 18:11:51
CUST71309,70,North,I cannot keep up with the payments anymore.,On Time,22-05-2022 12:23:45
CUST67997,74,West,I need more time to manage my finances.,On Time,20-07-2022 21:51:28
CUST29798,47,North,I need more time to manage my finances.,Defaulted,08-07-2024 03:57:47
CUST88575,58,Central,I'm frustrated with the late fees.,On Time,04-12-2024 13:43:39
CUST95519,29,East,I cannot keep up with the payments anymore.,On Time,18-11-2023 22:39:04
CUST95914,37,North,Things are improving; I'll make a payment shortly.,On Time,17-03-2022 10:41:38
CUST42959,55,East,The interest rates are too high!,On Time,21-08-2020 15:37:13
CUST42726,47,North,I'm frustrated with the late fees.,On Time,15-11-2022 02:27:21
